lcoreID,numFlows,numFlowsCreated,hits,miss,slowpath,localHits,Time
0,1,11,330823,11,34748,1216,66
1,-3,5,301166,5,2108,227,66
2,0,2,329424,2,2058,706,66
3,1,9,368151,9,2109,1547,66
4,0,4,369516,4,2064,678,66
5,0,1,301219,1,2062,59,66
6,-2,6,348014,6,2111,1296,66
7,0,7,297276,7,2110,624,66
8,1,9,299081,9,2069,503,66
9,1,8,359582,8,2123,1463,66
10,0,10,351089,10,2073,1379,66
11,0,2,360810,2,2083,1264,66
