lcoreID,numFlowsCreated,hits,miss,slowpath,localHits,Time,slowpath_ratio,hits_ratio,miss_ratio,hits_to_miss_ratio,miss_to_hits_ratio
0,18,26489561,18,33682,10090850,66,0.0009199185527131875,0.999079589833548,4.916137387577156e-07,0.9999995079336003,4.920663997680289e-07
1,17,27826837,17,2111,8751997,66,5.770761304746442e-05,0.9999418276643462,4.6472260625622696e-07,0.9999995352505742,4.647494258362571e-07
2,11,23155917,11,4345,12505829,66,0.00012182435860246236,0.9998778672252998,3.084160977277528e-07,0.9999996915463251,3.0845367489885593e-07
3,15,27118972,15,2110,9844311,66,5.708039256593624e-05,0.9999425138226528,4.0578478127442825e-07,0.9999995941920551,4.058079449512324e-07
4,15,22366076,15,4323,13676738,66,0.00011992625658748297,0.9998796576217728,4.1612163979001727e-07,0.9999995838284503,4.161715496860693e-07
5,13,22840699,13,4317,12843429,66,0.0001209634778840823,0.9998786722586893,3.642634265677716e-07,0.9999996356925055,3.643074944693218e-07
6,14,28944860,14,2108,8091672,66,5.691351526975035e-05,0.9999427085012322,3.7798349799644446e-07,0.9999996219949884,3.780050115904437e-07
7,18,28145491,18,2097,8590508,66,5.707968569099655e-05,0.9999424303599254,4.899543836137043e-07,0.9999995100176483,4.899823516523308e-07
8,13,24571804,13,4324,11240919,66,0.00012072459325248917,0.9998789124512174,3.6295553013005534e-07,0.9999996370006469,3.6299935307930673e-07
9,18,29088700,18,2113,7421206,66,5.7871326105415595e-05,0.9999416356857876,4.929881069084149e-07,0.9999995069833616,4.930166384350732e-07
10,15,25115199,15,4303,10936116,66,0.00011934334920704346,0.9998802406270332,4.160237597270862e-07,0.9999995839265847,4.1607341532198676e-07
11,12,25056329,12,4304,10492406,66,0.00012105852743833433,0.9998786039487862,3.375237753856905e-07,0.9999996624353595,3.3756464046398036e-07
