cpu node sched    preempt  timer    ipi      elapsedsec    usedsec       idlesec       hltsec        partnerBusyTime bwait         anonsec       handoff  handoffF handoffSF hltEnd   hltIntr  rdispatch  rchoose    irebalresched irebalFailed htWholeCore   htIdleIPI  htSwIPI    htTagAbort htPreempt   exclusiveTo  execStatus   
33  0    573534819 0       0        5620343  1216453.725   62815.831     548384.469    492067.797    47194.805       0.000         310.982       447      0        0         382879403 209495382 27977    755029     453           0            0             0          0          0          0           29912223     0            
34  0    683824875 0       0        6353902  1216453.725   141965.679    503897.996    409474.024    58716.607       0.000         335.159       936      0        0         430080165 227686291 28405    790905     1092          0            0             0          0          0          0           29912197     0            
35  0    666403664 0       0        6164310  1216453.725   66692.054     503897.996    608365.708    62152.342       0.000         327.302       687      0        0         438883479 238680173 28360    807517     1053          0            0             0          0          0          0           29912198     0            
36  0    689994281 0       0        6430422  1216453.725   233504.005    379321.145    436224.886    219348.640      0.000         328.591       1365     0        0         433733378 232719101 24908    784191     3109          0            0             0          0          0          0           29912195     0            
37  0    643585463 0       0        6065319  1216453.725   224307.430    379321.145    608587.896    219477.019      0.000         319.289       949      0        0         428948790 236283998 27706    806782     3019          0            0             0          0          0          0           29912196     0            
38  0    6495417  0        0        562      1216453.725   122.827       713.967       1215833.484   0.989           0.000         116.829       0        0        0         121889475 121760195 2        6          2             0            0             0          0          0          0           2097190      0            
39  0    6220930  0        0        41082    1216453.725   1214902.962   713.967       1241.596      305.834         0.000         94.827        0        0        0         183563   171024   2          25         0             0            0             0          0          0          0           2103968      0            
40  0    657853012 0       0        6175112  1216453.725   263397.655    386032.584    406058.317    176614.359      0.000         362.929       485      0        0         436517601 238779149 26671    783440     667           0            0             0          0          0          0           29912222     0            
41  0    665752486 0       0        6127214  1216453.725   180990.901    386032.584    608363.157    176514.350      0.000         323.290       491      0        0         437967533 239276951 27981    818645     539           0            0             0          0          0          0           29912221     0            
42  0    1246975622 0      0        13148586 1216453.725   143758.871    506940.482    646101.410    44285.634       0.000         826.305       13762    0        0         831695356 319429013 32563    1140459    4665          0            0             0          0          0          0           29912190     0            
43  0    1489374922 0      0        14852866 1216453.725   58813.891     506940.482    848063.271    44160.123       0.000         1029.339      9911     0        0         875526112 295100617 31444    1456059    8192          0            0             0          0          0          0           29912189     0            
44  0    669703957 0       0        6154324  1216453.725   222996.836    386693.047    405616.641    215557.451      0.000         326.989       470      0        0         420745288 225451161 24774    772377     654           0            0             0          0          0          0           29912186     0            
45  0    647702668 0       0        5852490  1216453.725   220070.794    386693.047    608987.913    215629.139      0.000         315.403       459      0        0         428991110 239510201 25825    787284     572           0            0             0          0          0          0           29912188     0            
46  0    690367258 0       0        6806058  1216453.725   106221.917    542576.369    436651.629    21594.064       0.000         352.809       3791     0        0         438352955 239306093 27505    815741     1507          0            0             0          0          0          0           29912207     0            
47  0    703511895 0       0        6434240  1216453.725   25079.070     542576.369    606057.310    19698.574       0.000         338.449       2344     0        0         453976796 252099670 27091    853817     1566          0            0             0          0          0          0           29912208     0            
48  0    506624102 0       0        4596576  1216453.725   266594.017    382460.407    488838.150    180686.850      0.000         287.053       401      0        0         343895457 200619841 21392    556618     611           0            0             0          0          0          0           29912200     0            
49  0    612606166 0       0        5016554  1216453.725   184938.893    382460.407    527184.215    180470.242      0.000         299.290       445      0        0         398717728 224934374 22037    659199     467           0            0             0          0          0          0           29912199     0            
50  0    738812388 0       0        8228794  1216453.725   186989.358    423549.124    476830.784    176909.237      0.000         363.246       6096     0        0         465753260 252499753 39689    1019384    3151          0            0             0          0          0          0           0            0            
51  0    751219660 0       0        7611935  1216453.725   182366.118    423549.124    589248.743    176749.785      0.000         360.973       4339     0        0         473927832 263223045 36522    946728     3490          0            0             0          0          0          0           0            0            
52  0    3691987214 0      0        83042378 1216453.725   61895.019     518231.955    818167.768    13572.638       0.000         1752.375      119048   0        0         2061235042 979727239 547400  8947297    52130         0            0             0          0          0          0           29912191     0            
53  0    3893354040 0      0        70991558 1216453.725   118094.795    518231.955    816030.693    17001.889       0.000         2200.523      72927    0        0         2061240317 1177220091 426376 6565421    60896         0            0             0          0          0          0           29912192     0            
54  0    3202300995 0      0        58620493 1216453.725   180456.062    438176.256    785647.224    136200.671      0.000         1396.800      97400    0        0         1701357469 780227393 272315  6444751    31481         0            0             0          0          0          0           0            0            
55  0    3994778667 0      0        53737974 1216453.725   159645.151    438176.256    915072.763    136107.080      0.000         1638.006      64270    0        0         1878590117 1028277203 264737 4926268    46489         0            0             0          0          0          0           0            0            
56  1    6765341  0        0        44010    1216453.725   1214860.256   715.986       1179.548      410.926         0.000         97.201        4        0        0         452662   285673   16         221        0             0            0             0          0          0          0           2103975      0            
57  1    6381170  0        0        664      1216453.725   161.496       715.986       1215628.127   0.791           0.000         159.728       0        0        0         121793987 121689570 2        72         245           0            0             0          0          0          0           2097209      0            
58  1    952278114 0       0        19056181 1216453.725   252128.824    363330.942    475612.809    231330.818      0.000         637.464       16263    0        0         622603779 271557422 169753   2090239    9960          0            0             0          0          0          0           29867638     0            
59  1    827131804 0       0        12212083 1216453.725   237663.017    363330.942    487831.063    231438.477      0.000         528.121       8030     0        0         480318291 230092162 98996    1378787    11022         0            0             0          0          0          0           29867639     0            
60  1    526735483 0       0        7031568  1216453.725   209212.536    408840.652    421361.815    181322.588      0.000         349.883       1588     0        0         360171813 173048376 30894    885220     877           0            0             0          0          0          0           29867636     0            
61  1    655483468 0       0        8589512  1216453.725   189559.884    408840.652    489483.739    181300.084      0.000         382.088       961      0        0         432975086 223764193 33525    1125899    788           0            0             0          0          0          0           29867637     0            
62  1    631925457 0       0        7244177  1216453.725   185473.646    422945.917    450599.543    176728.820      0.000         377.231       1396     0        0         419203742 218973891 29659    939064     1372          0            0             0          0          0          0           29867634     0            
63  1    656031794 0       0        7325455  1216453.725   185088.244    422945.917    482029.957    176313.838      0.000         388.386       768      0        0         439381023 236372721 29826    850944     1260          0            0             0          0          0          0           29867635     0            
64  1    657996877 0       0        7655945  1216453.725   65748.289     536548.116    449698.540    56015.294       0.000         387.204       4406     0        0         434590156 233442044 39389    879617     2490          0            0             0          0          0          0           0            0            
65  1    722922570 0       0        9121380  1216453.725   77609.203     536548.116    483222.947    52891.505       0.000         402.144       2612     0        0         466699162 253291481 37566    1159596    2548          0            0             0          0          0          0           0            0            
66  1    3159147874 0      0        67885402 1216453.725   107412.688    509120.856    979699.317    45224.861       0.000         1457.847      104689   0        0         1794924470 827116401 446581  7066353    64165         0            0             0          0          0          0           29867642     0            
67  1    3014476885 0      0        53722423 1216453.725   90799.325     509120.856    1045747.768   45106.465       0.000         1473.018      60767    0        0         1576006295 827093571 352870  5081847    64416         0            0             0          0          0          0           29867643     0            
68  1    3234613736 0      0        52197374 1216453.725   93055.652     540560.590    1039278.820   13898.910       0.000         1321.023      110100   0        0         1745523892 911069888 244900  5284731    39461         0            0             0          0          0          0           29867645     0            
69  1    3405440713 0      0        43725696 1216453.725   42276.894     540560.590    1142138.517   13790.158       0.000         1471.625      67022    0        0         1710120720 1016355734 238211 4036367    54693         0            0             0          0          0          0           29867644     0            
70  1    6268145  0        0        539      1216453.725   164.972       753.208       1215610.407   0.807           0.000         163.618       1        0        0         121781748 121696426 2        65         0             0            0             0          0          0          0           2097222      0            
